park,county,park_size,lat,long,section,township,range,sp_num,agency,IRC
A.D. 'Doug' Barnes Park,Miami-Dade,60.4,25.73667,-80.30917,14,54,40,299,Miami-Dade County Department of Parks and Recreation,1
Alice C. Wainwright Park,Miami-Dade,21.5,25.74806,-80.205,NA,NA,NA,226,City of Miami Department of Parks and Recreation,1
Allapattah Flats Wildlife Management Area,Martin,20945,27.195173,-80.545586,NA,NA,NA,80,Florida Fish and Wildlife Conservation Commission,0
Andrew Dodge Memorial Pineland,Miami-Dade,4.25,25.536,-80.396,23,56,39,51,Miami-Dade County,0.5
Arch Creek Addition,Miami-Dade,1.21,25.900912,-80.16137,NA,NA,NA,37,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,0.5
Arch Creek Park,Miami-Dade,10.31,25.90056,-80.16167,28,52,42,254,Miami-Dade County Department of Parks and Recreation,0.5
Arthur R. Marshall Loxahatchee National Wildlife Refuge,Palm Beach,148488.37,26.45417,-80.22833,NA,NA,NA,262,United States Fish and Wildlife Service,1
Atlantic Dunes Park,Palm Beach,7,26.442,-80.061,NA,NA,NA,142,City of Delray Beach,1
"Attwood Addition, Indian Key Historic State Park",Monroe (Keys),6,24.90689,-80.6463,NA,NA,NA,112,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Bahia Honda State Park,Monroe (Keys),491.25,24.66278,-81.26389,25,66,30,299,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Barefoot Beach Preserve,Collier,342,26.29472,-81.83278,NA,NA,NA,88,Collier County,1
Barley Barber Swamp,Martin,342,27.04611,-80.5875,NA,NA,NA,47,Florida Power and Light,0
Bartlett Estate,Broward,35,26.13536,-80.10401,NA,NA,NA,23,Florida Trust for Historic Preservation,0
Beachwalk Pasley Park,Martin,17,27.21861,-80.177536,NA,NA,NA,39,Martin County,0
Big and Little George Hammocks,Miami-Dade,18.21,25.637473,-80.436321,NA,NA,NA,224,Miami-Dade County,1
Big Cypress National Preserve,"Collier, Miami-Dade, Monroe (Mainland)",729000,26.25278,-81.28111,NA,NA,NA,1150,United States National Park Service,1
"Big Torch Hammocks Parcels Epstein and MCLA, Florida Keys Wildlife and Environmental Area",Monroe (Keys),60,NA,NA,NA,NA,NA,76,Monroe County (Keys),1
"Big Torch Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),103.65,NA,NA,NA,NA,NA,133,Florida Fish and Wildlife Conservation Commission,1
"Big Torch Key Parcels 884 and 885, Florida Keys Wildlife and Environmental Area",Monroe (Keys),67.19,24.70843,-81.43306,12,66,28,98,Florida Fish and Wildlife Conservation Commission,1
Bill Baggs Cape Florida State Park,Miami-Dade,431.63,25.67491031,-80.15822411,NA,NA,NA,483,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Bill Sadowski Park,Miami-Dade,29.26,25.60667,-80.32083,34,55,40,411,Miami-Dade County Department of Parks and Recreation,1
"Bird Island, Palm Beach County",Palm Beach,NA,NA,NA,NA,NA,NA,3,TNC,1
Biscayne National Park,Miami-Dade,172924.07,25.64361,-80.16667,NA,NA,NA,538,United States National Park Service,1
Black Creek Forest,Miami-Dade,6.98,25.56862,-80.37371,7,56,40,266,Miami-Dade County,1
Black Point Park and Marina,Miami-Dade,117.88,25.53778,-80.33167,NA,NA,NA,123,Miami-Dade County Department of Parks and Recreation,1
Black Point Wetlands,Miami-Dade,78.94,NA,NA,28,NA,NA,42,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,0
Blazingstar Preserve,Palm Beach,24.14,NA,NA,NA,NA,NA,89,City of Boca Raton,0.5
Blowing Rocks Preserve,Martin,66.67,26.97667,-80.08194,NA,NA,NA,231,The Nature Conservancy,0
"Blue Heron Hammock, Florida Keys Wildlife and Environmental Area",Monroe (Keys),51.45,NA,NA,NA,NA,NA,188,Florida Fish and Wildlife Conservation Commission,1
Boca Chica Beach,Monroe (Keys),6,NA,NA,NA,NA,NA,143,Monroe County,1
Bocilla Preserve,Lee,197,NA,NA,NA,NA,NA,122,Lee County,1
"Bonair Beach Parcel, Martin County",Martin,45.64,27.0793,-80.12477,NA,NA,NA,161,Town of Jupiter Island,1
Boystown Pineland,Miami-Dade,76.71,25.66177,-80.42017,10,55,39,128,Miami-Dade County,1
Caloosahatchee Creeks Preserve,Lee,NA,NA,NA,NA,NA,NA,534,Lee County,1
Caloosahatchee Regional Park,Lee,768,NA,NA,NA,NA,NA,185,Lee County,1
Camp Owaissa Bauer,Miami-Dade,99.35,25.52333,-80.46833,30,56,39,420,Miami-Dade County Department of Parks and Recreation,1
Cape Romano - Ten Thousand Islands Aquatic Preserve,Collier,53913,25.84944,-81.56056,NA,NA,NA,181,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",1
Carlin Park,Palm Beach,110.44,26.92889,-80.07306,NA,NA,NA,15,Palm Beach County,1
Castellow Hammock parcel 28,Miami-Dade,18.43,25.55748,-80.4434,NA,NA,NA,160,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
Castellow Hammock parcel 31,Miami-Dade,NA,NA,NA,NA,NA,NA,110,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
Castellow Hammock parcel 33,Miami-Dade,7.41,25.55661,-80.44651,17,56,39,162,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
Castellow Hammock Park,Miami-Dade,114.79,25.55972,-80.45528,17,56,39,377,Miami-Dade County Department of Parks and Recreation,1
Cayo Costa State Park,Lee,2412.28,NA,NA,NA,NA,NA,385,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",1
Chapman Field Park,Miami-Dade,566,25.64028,-80.27917,NA,NA,NA,215,Miami-Dade County Department of Parks and Recreation,1
Charlotte Harbor Preserve State Park,"Charlotte, Lee",43614,NA,NA,NA,NA,NA,12,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",1
Chernoff Hammock,Miami-Dade,NA,NA,NA,NA,NA,NA,91,Miami-Dade County,0
Cholee Park,Palm Beach,812,NA,NA,NA,NA,NA,75,Palm Beach County,0.5
City of West Palm Beach Water Catchment Buffer,Palm Beach,14592,NA,NA,NA,NA,NA,234,City of West Palm Beach,0.5
Coconut Creek Natural Area,Broward,10.9,NA,NA,NA,NA,NA,142,Broward County,0.5
Collier-Seminole State Park,Collier,7271.09,25.97611,-81.60389,NA,NA,NA,439,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Coral Cove Park,Palm Beach,30,26.958,-80.077,NA,NA,NA,1,Palm Beach County,0
Coral Pines Park,Miami-Dade,9.8,25.675,-80.30778,2,55,40,148,Village of Pinecrest,1
Coral Reef Park,Miami-Dade,47.56,25.63111,-80.32,22,55,40,172,Miami-Dade County Department of Parks and Recreation,1
Corkscrew Regional Ecosystem Watershed (CREW),"Collier, Lee",23370,NA,NA,NA,NA,NA,543,South Florida Water Management District,1
Corkscrew Swamp Sanctuary,"Lee, Collier",10895,26.39056,-81.62,NA,NA,NA,512,National Audobon Society,0.5
"County Line Scrub, Miami-Dade County",Miami-Dade,15.02,25.97,-80.206,NA,NA,NA,204,Miami-Dade County,1
Coupon Bight State Buffer Preserve,Monroe (Keys),194.5,NA,NA,NA,NA,NA,1,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",0
Crandon Park,Miami-Dade,903.9,25.71167,-80.15417,NA,NA,NA,272,Miami-Dade County Department of Parks and Recreation,1
Crocodile Lake National Wildlife Refuge,Monroe (Keys),6688.04,25.27083,-80.32111,19,59,40,317,United States Fish and Wildlife Service,1
Cross Key,Monroe (Keys),124,25.19028,-80.40611,NA,NA,NA,1,The Nature Conservancy,0
Crystal Lake Sand Pine Scrub Natural Area,Broward,24.3,NA,NA,NA,NA,NA,165,Broward County,0.5
Curry Hammock State Park,Monroe (Keys),665.22,NA,NA,NA,NA,NA,230,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Cypress Knee Slough Preserve,Palm Beach,30.3,NA,NA,NA,NA,NA,52,City of Boca Raton,0.5
Dagny Johnson Key Largo Hammocks Botanical State Park,Monroe (Keys),2415.49,25.28056,-80.29722,NA,NA,NA,458,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Danforth,Martin,27,NA,NA,NA,NA,NA,303,Martin County,1
Daskas,Martin,2,27.21618,-80.25557,32,37,41,84,Martin County,0
Deering Estate at Cutler,Miami-Dade,441.23,25.62639,-80.30556,25,55,40,800,Miami-Dade County Department of Parks and Recreation,1
Delnor-Wiggins Pass State Park,Collier,166,26.28139,-81.82833,NA,NA,NA,164,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Delray Beach Municipal Beach,Palm Beach,NA,NA,NA,NA,NA,NA,155,City of Delray Beach,1
"Delray Beach, Lake Ida parcel",Palm Beach,NA,NA,NA,NA,NA,NA,90,City of Delray Beach,1
Delray Oaks Natural Area,Palm Beach,24.5,NA,NA,NA,NA,NA,294,Palm Beach County,1
Dolphin Center and Dolphin Center Addition,Miami-Dade,7.3,NA,NA,NA,NA,NA,209,Miami-Dade County,1
Don Pedro Island State Park,Charlotte,228.89,26.86306,-82.31611,NA,NA,NA,77,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Doris Davis Forman Wilderness Preserve,Broward,19.32,NA,NA,NA,NA,NA,170,City of Parkland,0
"Dove Creek Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),226.7,NA,NA,NA,NA,NA,246,Florida Fish and Wildlife Conservation Commission,1
Dry Tortugas National Park,Monroe (Keys),64701.22,24.62861,-82.87333,NA,NA,NA,216,United States National Park Service,0.5
Dupuis Reserve,"Martin, Palm Beach",21875,NA,NA,NA,NA,NA,818,South Florida Water Management District,1
Eachus Pineland,Miami-Dade,17.24,25.59659,-80.42132,34,55,39,192,Miami-Dade County,1
East Coast Buffer,"Broward, Miami-Dade, Palm Beach",13388,NA,NA,NA,NA,NA,1,South Florida Water Management District,0
Easterlin Regional Park,Broward,46.6,26.17083,-80.16111,NA,NA,NA,1,Broward County,0
Enchanted Forest Park,Miami-Dade,22,25.90083,-80.16417,NA,NA,NA,229,City of North Miami,1
Estero Bay State Buffer Preserve,Lee,8440,NA,NA,NA,NA,NA,239,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",0.5
Everglades and Francis S. Taylor Wildlife Management Area,"Broward, Palm Beach, Miami-Dade",671831,25.83056,-80.49167,NA,NA,NA,324,Florida Fish and Wildlife Conservation Commission,1
Everglades National Park,"Miami-Dade, Monroe (Mainland), Monroe (Keys), Collier",1507850,25.3125,-80.9375,NA,NA,NA,1124,United States National Park Service,1
Fakahatchee Strand Preserve State Park,Collier,70375.88,26.00028,-81.41667,NA,NA,NA,527,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Fern Forest Nature Center,Broward,254,NA,NA,NA,NA,NA,303,Broward County,1
Fisheating Creek Wildlife Management Area,Glades,18272,NA,NA,NA,NA,NA,138,Florida Fish and Wildlife Conservation Commission,1
Florida Atlantic University Ecological Site,Palm Beach,91.6,NA,NA,NA,NA,NA,178,Florida Atlantic University,0
Florida City Pineland,Miami-Dade,23.54,25.44575,-80.48731,25,57,38,257,Miami-Dade County,1
Florida Panther National Wildlife Refuge,Collier,26529.04,NA,NA,NA,NA,NA,221,United States Fish and Wildlife Service,1
Fort Lauderdale Executive Airport Gopher Tortoise Preserve,Broward,16.5,NA,NA,NA,NA,NA,92,Fort Lauderdale Executive Airport,1
Fred C. Babcock-Cecil M. Webb Wildlife Management Area,Charlotte,82046,26.87306,-81.86056,NA,NA,NA,441,Florida Fish and Wildlife Conservation Commission,0
Frenchman's Forest Natural Area,Palm Beach,157,NA,NA,NA,NA,NA,477,Palm Beach,1
Frog Pond/L-31 N Transition Lands,Miami-Dade,9386,25.4406,-80.57478,NA,NA,NA,462,South Dade Soil and Water Conservation District,1
Fuchs Hammock Preserve,Miami-Dade,39.83,25.48606,-80.51344,10,57,38,304,Miami-Dade County Department of Parks and Recreation,1
Gasparilla Island Conservation and Improvement Association tract A,Charlotte,35,NA,NA,NA,NA,NA,28,Gasparilla Island Conservation and Improvement Association,1
Gasparilla Island State Park,Lee,127.24,26.77194,-82.26639,NA,NA,NA,104,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
George N. Avery Pineland,Miami-Dade,2.4,25.546,-80.394,24,56,39,158,Institute for Regional Conservation,1
Gold Coast Railroad Museum,Miami-Dade,60.31,25.61967,-80.40346,NA,NA,NA,161,Miami-Dade County Department of Parks and Recreation,1
Gomez,Martin,60.5,NA,NA,NA,NA,NA,180,Martin County,1
Gopher Tortoise Preserve,Palm Beach,7,NA,NA,NA,NA,NA,129,City of Boca Raton,0.5
Goulds Pineland,Miami-Dade,35.76,25.55684,-80.38748,NA,NA,NA,157,Miami-Dade County,1
Great White Heron National Wildlife Refuge,Monroe (Keys),192584.28,24.70833,-81.54167,NA,NA,NA,149,United States Fish and Wildlife Service,1
Greynolds Park,Miami-Dade,240.75,25.94444,-80.15556,4,52,42,320,Miami-Dade County Department of Parks and Recreation,0.5
Halpatiokee Regional Park,Martin,121,NA,NA,NA,NA,NA,293,Martin County,1
Harden Hammock,Miami-Dade,12.35,25.55644,-80.36615,NA,NA,NA,223,Miami-Dade County,1
Hattie Bauer Hammock,Miami-Dade,15.01,25.5177932,-80.4422273,NA,NA,NA,389,Miami-Dade County,1
Haulover Beach Park,Miami-Dade,177,25.91083,-80.12194,NA,NA,NA,1,Miami-Dade County Department of Parks and Recreation,1
Hawk's Hammock Park,Martin,432,27.12292,-80.35271,5,39,40,290,Martin County,1
Hickey Creek Mitigation Park Wildlife and Environmental Area,Lee,936,NA,NA,NA,NA,NA,173,Florida Fish and Wildlife Conservation Commission,1
Hickory Swamp Preserve,Lee,66.55,NA,NA,NA,NA,NA,1,Lee County,1
High Ridge Scrub Natural Area,Palm Beach,39.26,NA,NA,NA,NA,NA,100,Palm Beach County Environmental Resource Management,1
Highland Oaks Park,Miami-Dade,39.92,25.96667,-80.15417,33,NA,NA,147,Miami-Dade County Department of Parks and Recreation,1
Hillsboro Pineland Natural Area,Broward,56.3,26.324581,-80.197717,NA,NA,NA,391,Broward County,1
Hobe Sound National Wildlife Refuge,Martin,980.15,27.12917,-80.14556,NA,NA,NA,379,United States Fish and Wildlife Service,1
Hobe Sound Sandhill,Martin,55.79,NA,NA,NA,NA,NA,155,The Nature Conservancy,1
Holey Land Wildlife Management Area,"Broward, Palm Beach",35350,26.37556,-80.70833,NA,NA,NA,61,Florida Fish and Wildlife Conservation Commission,0
Holiday Hammock,Miami-Dade,20.36,NA,NA,NA,NA,NA,182,Miami-Dade County,1
Hollywood North Beach Regional Park,Broward,76.9,NA,NA,NA,NA,NA,46,Broward County,1
Homestead Bayfront Park,Miami-Dade,97,25.46139,-80.3425,NA,NA,NA,124,Miami-Dade County Department of Parks and Recreation,1
House of Refuge Park,Martin,10.46,27.19881,-80.16495,NA,NA,NA,7,Martin County,0
Hugh Taylor Birch State Park,Broward,175.24,26.145,-80.10528,NA,NA,NA,592,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Indian Key Historic State Park,Monroe (Keys),110.49,24.87778,-80.67694,NA,64,36,94,"Florida Department of Environmental Protection, Division of Recreation and Parks",0.5
Indian Riverside Park,Martin,18,NA,NA,NA,NA,NA,3,Martin County,0
Ingram Pineland,Miami-Dade,10.4,25.49924,-80.46145,NA,NA,NA,241,Miami-Dade County,1
Ives Estate Park,Miami-Dade,92.46,25.96194,-80.17694,NA,NA,NA,54,Miami-Dade County Department of Parks and Recreation,0.5
J.N. 'Ding' Darling National Wildlife Refuge,Lee,6315.53,NA,NA,NA,NA,NA,306,United States Fish and Wildlife Service,1
J.W. Corbett Wildlife Management Area,Palm Beach,60228,26.89583,-80.41667,NA,NA,NA,482,Florida Fish and Wildlife Conservation Commission,1
Joe's River Park,Martin,15,NA,NA,NA,NA,NA,94,Martin County,1
John D. MacArthur Beach State Park,Palm Beach,437.57,26.83083,-80.04556,NA,NA,NA,277,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
John Kunkel Small Pineland,Miami-Dade,NA,NA,NA,NA,NA,NA,63,The Institute for Regional Conservation,0
John Pennekamp Coral Reef State Park,Monroe (Keys),63094.28,25.1,-80.4,NA,NA,NA,454,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
John U. Lloyd Beach State Park,Broward,310.77,26.07,-80.11306,NA,NA,NA,330,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Jonathan Dickinson State Park,"Martin, Palm Beach",11458,27.00583,-80.12889,NA,NA,NA,886,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Juno Dunes Natural Area,Palm Beach,562.59,NA,NA,NA,NA,NA,576,Palm Beach County,1
Juno Park,Palm Beach,18.2,NA,NA,NA,NA,NA,1,Palm Beach County,0
Jupiter Inlet Lot 13,Palm Beach,26.35,NA,NA,NA,NA,NA,1,Town of Jupiter and the United States Bureau of Land Management,0
Jupiter Inlet Natural Area,Palm Beach,54.33,NA,NA,NA,NA,NA,3,Palm Beach County and the United States Bureau of Land Management,0
Jupiter Ridge Natural Area,Palm Beach,268.6,NA,NA,NA,NA,NA,306,Palm Beach County,1
Kendall Indian Hammocks Park,Miami-Dade,105,NA,NA,NA,NA,NA,190,Miami-Dade County Department of Parks and Recreation,1
Kendalwood,Miami-Dade,1.5,25.6925,-80.345,NA,NA,NA,121,Miami-Dade County Department of Parks and Recreation,1
"Key Largo Ansama Parcel, Florida Keys Wildlife and Environmental Area",Monroe (Keys),0.91,25.11038,-80.42557,NA,NA,NA,64,Florida Fish and Wildlife Conservation Commission,1
"Key Largo Brown Parcel, Florida Keys Wildlife and Environmental Area",Monroe (Keys),5.84,25.03279,-80.50234,NA,NA,NA,102,Florida Fish and Wildlife Conservation Commission,1
Key West National Wildlife Refuge,Monroe (Keys),208308.17,24.5625,-81.99944,NA,NA,NA,185,United States Fish and Wildlife Service,1
Kiplinger,Martin,121,27.156,-80.245,NA,NA,NA,186,Martin County,1
